date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2014-05-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-06-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-01,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-02,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-31,1.0,1.0,1.0,1.0,1.0,1.0
