date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2022-02-25,3.0015157665803924,1.3713773511899667,0.828014212490776,0.5626261327542814,0.38769589313952785,1.359416362799322
2022-02-28,2.993720163982284,1.3702218567653954,0.828211709124477,0.56419019459937,0.38960677582029,1.3606418008275813
2022-03-01,3.0274811566932835,1.3842780738338694,0.8353090384031654,0.5680010953023676,0.3921493862759813,1.3724484816608775
2022-03-02,3.0610610735905133,1.3934392616666726,0.8403323088377759,0.5696769011642041,0.39273586613829664,1.3801815168950335
2022-03-03,3.0809608286625445,1.400403236551761,0.842941483579388,0.5688021624728753,0.39082213670635,1.3824436074967628
2022-03-04,3.0414957497670643,1.3830077961064753,0.8316935175032802,0.5604219590731611,0.3855125497882369,1.3653677991825368
2022-03-07,3.0120463202393384,1.366860383480217,0.8190368956944001,0.5500525479212833,0.37839246974684004,1.3452863245215811
2022-03-08,2.9222365917944098,1.3235770194939482,0.7922054021940718,0.5325558388072372,0.36662913379495826,1.3030075376364463
2022-03-09,2.8678697857130246,1.3010991188380738,0.781136504743244,0.5260883286861563,0.36460885696041345,1.285488935298393
2022-03-10,2.9233723109309366,1.3238739075346921,0.7943984322640973,0.5350654738151899,0.37139445564262347,1.3085023978416084
2022-03-11,2.948796846098099,1.3371508336762314,0.8004005198150053,0.5379601210426027,0.372184219805015,1.3184739842418458
2022-03-14,2.882208054777836,1.3036827995176477,0.7797613879165772,0.5239388130893149,0.3615507643651579,1.2847127960993423
2022-03-15,2.7309890877606997,1.2298181772812606,0.7358379202514773,0.49493537747347244,0.3422300106296764,1.2142464899360084
2022-03-16,2.809633190561697,1.2669072095240337,0.7607128186923068,0.5106325984653413,0.3544747239639804,1.253164261521292
2022-03-17,2.8452114980829455,1.2885397723270213,0.7731619983583956,0.5214294037306515,0.36119465563793535,1.2747699748821542
2022-03-18,2.8998424484053795,1.3110164890063485,0.7861655777471622,0.5286469626100658,0.3646904382824912,1.295413266129122
2022-03-21,2.9381102580936638,1.327643071963605,0.7938604524282524,0.5350302485113017,0.3684697691609459,1.3104663942550894
2022-03-22,2.9559961742751923,1.332206579637786,0.7949109745585317,0.5342229686674635,0.3681118885916763,1.312660295787759
2022-03-23,2.9614517991648697,1.3374889895751918,0.7969896871232733,0.5363699846746062,0.36889500423317056,1.3164848972764946
2022-03-24,2.9262399618759534,1.3218552568757442,0.7876176986539248,0.5301142174258887,0.36698214296558124,1.3027455078535037
2022-03-25,2.948224051707282,1.324956943366293,0.7856327609249772,0.5275623213495372,0.36137399847571994,1.3007623761530196
2022-03-28,2.9466378754843925,1.3218839860727534,0.78621539774713,0.5283194023293912,0.36069239688893534,1.3000940268358954
2022-03-29,2.9169033633075756,1.3103219741576924,0.7813188991784367,0.5249272553097425,0.3595119086238177,1.2910556820836674
2022-03-30,2.952377558854081,1.3295677838229452,0.7936588708973114,0.5353175205522205,0.3660985720912982,1.3119084829809875
2022-03-31,2.9729247277665007,1.3322384704487669,0.793455775803476,0.5334497809948818,0.3628604347124889,1.3109579912008966
2022-04-01,2.977134531559884,1.3323061751124878,0.7935710521010237,0.5342210921822085,0.3630227895412234,1.3131587122096844
2022-04-06,3.0305000881761823,1.3521121944176846,0.8055419765450064,0.5394688823623646,0.3639873949051504,1.3290130210412217
2022-04-07,2.9659980886003217,1.322685088677047,0.7862847334621308,0.5259368381338461,0.3565965822999137,1.299152487467116
2022-04-08,2.9434302382913673,1.315914201080541,0.7841803433586311,0.5260190343991201,0.35702519689771844,1.2955006257585753
2022-04-11,2.879203848395041,1.2840645079931168,0.7643877208577005,0.510889758551308,0.3460600508177355,1.2616284443434818
2022-04-12,2.9435759070419976,1.3099189557151785,0.7787903328528731,0.5201557076994129,0.34946667689950756,1.285416089231679
2022-04-13,2.9058887042881483,1.2920396945109818,0.7636690990673094,0.5086185344556982,0.3423614974573315,1.2626949788354707
2022-04-14,2.925795300578183,1.30260210597177,0.7693777287364327,0.5150252099449546,0.3489380117271553,1.2764094088859195
2022-04-15,2.872805919148361,1.2827887181320832,0.7582623449727138,0.506544930061115,0.34417157979001134,1.2565243428276482
2022-04-18,2.9063817028840937,1.2930810311682612,0.7623988997428792,0.5065229347248426,0.3415474947777974,1.260921770063908
2022-04-19,2.9289920369459095,1.3007699989677524,0.7676248508961492,0.5092294146315577,0.34317322474585954,1.2699495416368576
2022-04-20,2.924469723814846,1.2901342840311314,0.7594963508308499,0.501564064734187,0.33593715233868326,1.2556125623745436
2022-04-21,2.823937421426427,1.2414089995929998,0.7304755103257932,0.4799852349974426,0.3224675582301334,1.2070286585648908
2022-04-22,2.8135409615715052,1.2334408254015148,0.7254414925224606,0.4763795287289562,0.31881926520674686,1.1983819532805893
2022-04-25,2.6022121418582596,1.1382836998832304,0.6713877702727986,0.44278961941684797,0.29796397235382877,1.1114535359392037
2022-04-26,2.489109624211122,1.0930081763367205,0.646572065926328,0.4287254812755963,0.2914449116296342,1.0739331743837413
2022-04-27,2.548905002273038,1.1224403179463027,0.6645154055683486,0.4421014113356811,0.30217224013618427,1.105445053650399
2022-04-28,2.5074390315468085,1.1048262760870393,0.6552350684510672,0.43811793529145776,0.3014993497028557,1.0928085613239449
2022-04-29,2.6159088340723664,1.1542065160249582,0.6832578335131989,0.45723828131896727,0.3121102322490938,1.1386076901648985
2022-05-05,2.663632640097963,1.1731562515300442,0.6964013177606094,0.4656400294981307,0.31691796328616895,1.1585730706399675
2022-05-06,2.648255283849343,1.1588272124053913,0.6845770693451965,0.45740170363732635,0.3097941874287878,1.142288376540263
2022-05-09,2.706609687100591,1.181113465024383,0.6974568468761354,0.4646202975491671,0.3125821071403013,1.1616779288597943
2022-05-10,2.7379040466631372,1.1989558009496215,0.7078026733733801,0.4722307835922166,0.3179470594415852,1.1791121729428216
2022-05-11,2.7307252182358077,1.1968662191276553,0.7098531297548998,0.4743693156515475,0.32148939793750914,1.1824588793162794
2022-05-12,2.763599228099538,1.2093730108998637,0.7166832115441614,0.4776768555750119,0.3211024916143342,1.1914189471014545
