date,nav,涨幅%,较本金盈亏
2023-03-14,662850.38,-0.63,62850.38
2023-03-15,667509.76,0.7029,67509.76
2023-03-16,663580.17,-0.5887,63580.17
2023-03-17,664835.43,0.1892,64835.43
2023-03-20,664372.15,-0.0697,64372.15
2023-03-21,667981.57,0.5433,67981.57
2023-03-22,669891.7,0.286,69891.7
2023-03-23,669263.31,-0.0938,69263.31
2023-03-24,669422.26,0.0237,69422.26
2023-03-27,668003.85,-0.2119,68003.85
2023-03-28,666332.81,-0.2502,66332.81
2023-03-29,663961.35,-0.3559,63961.35
2023-03-30,661454.23,-0.3776,61454.23
2023-03-31,664389.54,0.4438,64389.54
2023-04-03,665087.84,0.1051,65087.84
2023-04-04,660835.96,-0.6393,60835.96
2023-04-06,658085.67,-0.4162,58085.67
2023-04-07,661163.91,0.4678,61163.91
2023-04-10,656406.99,-0.7195,56406.99
2023-04-11,657096.7,0.1051,57096.7
2023-04-12,659278.17,0.332,59278.17
2023-04-13,659339.87,0.0094,59339.87
2023-04-14,659096.23,-0.037,59096.23
2023-04-17,660014.13,0.1393,60014.13
2023-04-18,658036.66,-0.2996,58036.66
2023-04-19,657020.27,-0.1545,57020.27
2023-04-20,654694.03,-0.3541,54694.03
2023-04-21,648757.7,-0.9067,48757.7
2023-04-24,648705.35,-0.0081,48705.35
2023-04-25,643985.6,-0.7276,43985.6
2023-04-26,648111.43,0.6407,48111.43
2023-04-27,649534.95,0.2196,49534.95
2023-04-28,656137.21,1.0165,56137.21
2023-05-04,660446.0,0.6567,60446.0
2023-05-05,659239.28,-0.1827,59239.28
2023-05-08,660330.24,0.1655,60330.24
2023-05-09,656988.9,-0.506,56988.9
2023-05-10,658061.17,0.1632,58061.17
2023-05-11,661188.62,0.4753,61188.62
2023-05-12,659462.27,-0.2611,59462.27
2023-05-15,661424.6,0.2976,61424.6
2023-05-16,659093.16,-0.3525,59093.16
2023-05-17,662441.74,0.5081,62441.74
2023-05-18,663780.98,0.2022,63780.98
2023-05-19,663122.4,-0.0992,63122.4
2023-05-22,664743.3,0.2444,64743.3
2023-05-23,663088.48,-0.2489,63088.48
2023-05-24,662623.81,-0.0701,62623.81
2023-05-25,662580.13,-0.0066,62580.13
2023-05-26,663794.02,0.1832,63794.02
2023-05-29,661506.05,-0.3447,61506.05
2023-05-30,663045.38,0.2327,63045.38
2023-05-31,661762.03,-0.1936,61762.03
2023-06-01,660702.07,-0.1602,60702.07
2023-06-02,663924.58,0.4877,63924.58
2023-06-05,665858.49,0.2913,65858.49
2023-06-06,660093.51,-0.8658,60093.51
2023-06-07,661951.95,0.2815,61951.95
2023-06-08,662301.19,0.0528,62301.19
2023-06-09,662102.3,-0.03,62102.3
2023-06-12,664621.39,0.3805,64621.39
2023-06-13,665641.59,0.1535,65641.59
2023-06-14,665969.33,0.0492,65969.33
2023-06-15,665147.07,-0.1235,65147.07
2023-06-16,666135.41,0.1486,66135.41
2023-06-19,663153.75,-0.4476,63153.75
2023-06-20,659971.95,-0.4798,59971.95
2023-06-21,657554.63,-0.3663,57554.63
2023-06-26,653925.67,-0.5519,53925.67
2023-06-27,661656.48,1.1822,61656.48
2023-06-28,662389.62,0.1108,62389.62
2023-06-29,665022.47,0.3975,65022.47
2023-06-30,669346.14,0.6502,69346.14
2023-07-03,670984.75,0.2448,70984.75
2023-07-04,672574.04,0.2369,72574.04
2023-07-05,672309.92,-0.0393,72309.92
2023-07-06,673083.11,0.115,73083.11
2023-07-07,673681.0,0.0888,73681.0
2023-07-10,674951.52,0.1886,74951.52
2023-07-11,677148.2,0.3255,77148.2
2023-07-12,674541.68,-0.3849,74541.68
2023-07-13,676969.29,0.3599,76969.29
2023-07-14,677010.02,0.006,77010.02
2023-07-17,677440.98,0.0637,77440.98
2023-07-18,678971.54,0.2259,78971.54
2023-07-19,679806.7,0.123,79806.7
2023-07-20,678191.66,-0.2376,78191.66
2023-07-21,679216.94,0.1512,79216.94
2023-07-24,680026.44,0.1192,80026.44
2023-07-25,686201.03,0.908,86201.03
2023-07-26,688286.77,0.304,88286.77
2023-07-27,686889.55,-0.203,86889.55
2023-07-28,689840.07,0.4295,89840.07
2023-07-31,693765.85,0.5691,93765.85
2023-08-01,692531.12,-0.178,92531.12
2023-08-02,692819.21,0.0416,92819.21
2023-08-03,692436.61,-0.0552,92436.61
2023-08-04,691296.8,-0.1646,91296.8
2023-08-07,688905.07,-0.346,88905.07
2023-08-08,688546.44,-0.0521,88546.44
2023-08-09,685269.59,-0.4759,85269.59
2023-08-10,686706.07,0.2096,86706.07
2023-08-11,681767.31,-0.7192,81767.31
2023-08-14,683199.96,0.2101,83199.96
2023-08-15,682275.55,-0.1353,82275.55
2023-08-16,681009.79,-0.1855,81009.79
2023-08-17,684944.11,0.5777,84944.11
2023-08-18,681354.47,-0.5241,81354.47
2023-08-21,680120.94,-0.181,80120.94
2023-08-22,679089.57,-0.1516,79089.57
2023-08-23,675496.06,-0.5292,75496.06
2023-08-24,674744.45,-0.1113,74744.45
2023-08-25,671087.18,-0.542,71087.18
2023-08-28,676391.07,0.7903,76391.07
2023-08-29,683738.47,1.0863,83738.47
2023-08-30,682889.23,-0.1242,82889.23
2023-08-31,680611.86,-0.3335,80611.86
2023-09-01,679510.25,-0.1619,79510.25
2023-09-04,685396.79,0.8663,85396.79
2023-09-05,683639.61,-0.2564,83639.61
